,Total Change
map-chat/images/p/148.png,0
map-chat/images/p/149.png,0
map-chat/images/p/150.png,0
map-chat/images/p/151.png,0
map-chat/images/twitter_icon_small.png,0
map-chat/index.html,710
map-chat/javascript/browserMqtt.js,55540
map-chat/javascript/html-sanitizer-minified.js,125
map-chat/javascript/map.js,7935
map-chat/javascript/modernizr.custom.js,20
map-chat/map-chat.png,0
map-chat/stylesheets/main.css,470
pokemongo_bot/cell_workers/catch_lured_pokemon.py,865
pokemongo_bot/cell_workers/catch_visible_pokemon.py,906
pokemongo_bot/cell_workers/migrations/catch_log.py,17
pokemongo_bot/cell_workers/migrations/evolve_log.py,25
pokemongo_bot/cell_workers/migrations/pokestop_log.py,25
pokemongo_bot/cell_workers/migrations/softban_log.py,15
pokemongo_bot/cell_workers/migrations/transfer_log.py,25
pokemongo_bot/cell_workers/random_pause.py,399
pokemongo_bot/walkers/walker_factory.py,83
pokemongo_bot/cell_workers/update_web_inventory.py,115
windows_bat/PokemonGo-Bot-Start.bat,660
pokemongo_bot/test/incubate_eggs_test.py,116
pokemongo_bot/services/item_recycle_worker.py,305
pokemongo_bot/cell_workers/sleep_schedule.py,968
pokemongo_bot/test/log_delay_test.py,62
pokemongo_bot/constants.py,35
pokemongo_bot/cell_workers/level_up.py,552
pokemongo_bot/human_behaviour.py,239
pokemongo_bot/test/resources/example_directions.pickle,1024
pokemongo_bot/test/resources/example_elevations.pickle,5028
pokemongo_bot/walkers/polyline_generator_tester.py,188
pokemongo_bot/migrations/pokemongobot.py,14
pokemongo_bot/walkers/__init__.py,8
proto/RpcEnum.proto,3830
proto/RpcEnvelope.proto,365
proto/RpcSub.proto,4420
windows_bat/PyYAML-3.11-cp27-cp27m-win32.whl,0
windows_bat/PyYAML-3.11-cp27-cp27m-win_amd64.whl,0
appveyor.yml,38
pylint-recursive.py,148
windows_bat/PokemonGo-Bot-Repair.bat,395
pokemongo_bot/step_walker.py,353
tests/step_walker_test.py,192
.github/ISSUE_TEMPLATE.md,260
.github/PULL_REQUEST_TEMPLATE.md,78
docs/docker.md,326
run.bat,60
windows_bat/PokemonGo-Bot-StatusWebpage.url,15
Procfile,2
install.sh,346
pokemongo_bot/services/__init__.py,0
.mention-bot,9
docs/develop.md,84
docs/pokemon_iv.md,174
pokemongo_bot/base_dir.py,8
pokemongo_bot/cell_workers/update_title_stats.py,632
pokemongo_bot/socketio_server/app.py,149
brantje.py,27
docs/plugins.md,132
pokemongo_bot/worker_result.py,12
setup.py,83
pokemongo_bot/gym_cache.py,64
